HY_ID|TM_Est
6028522|49.15564
6028548|40.355553
6028571|46.716835
6028627|46.471012
6028629|44.345592
6028637|40.12297
6028942|36.489906
6028999|39.966404
6029035|61.114647
6029036|35.89223
6029037|43.354057
6029052|44.39648
6029065|37.442352
6029171|43.46171
6029195|38.50185
6029210|44.80182
6029241|39.859074
6029247|24.181215
6029313|45.227493
6029317|39.680927
6029323|34.87196
6029385|35.913994
6029421|38.786236
6029433|32.894043
6029648|46.624653
6029670|38.978138
6029839|39.853203
6029872|46.647697
6029884|42.932384
6029909|26.908106
6029911|21.4254
6030067|44.99015
6030165|49.87615
6030226|42.7572
6030229|48.846447
6030265|49.476032
6030304|64.946014
6030320|41.362988
6030323|45.011116
6030330|54.685863
6030353|50.671715
6030361|41.61072
6030487|20.622707
6030493|23.370125
6030495|23.164627
6030501|6.6374927
6030522|49.368298
6030782|40.05151
6030803|37.8932
6030805|43.012074
6030869|44.84961
6030872|45.2707
6030874|49.51526
6030909|44.022717
6030940|36.47131
6030942|43.25716
6030972|44.84327
6030999|38.06871
6031007|38.465652
6031123|36.318424
6031127|45.790215
6031147|43.23214
6031276|51.793694
6031281|41.949013
6031283|47.441578
6031284|51.577114
6031294|26.56996
6031313|50.404987
6031328|31.6505
6031372|54.097954
6031507|53.42142
6031524|31.520473
6031551|21.953857
6031559|30.379879
6031605|41.46669
6031617|40.5057
6031626|43.647915
6031656|49.292645
6031749|46.943516
6031758|58.907272
6031819|47.182682
6031820|38.09552
6031831|44.074238
6031835|47.20249
6031836|42.82725
6031877|61.06667
6031886|44.252052
6031906|43.012177
6031939|47.087463
6031944|40.31206
6031955|50.41755
6031977|49.646675
6032048|41.85644
6032161|41.774067
6032163|41.206215
6032216|46.15594
6032373|52.390873
6032375|36.94779
6032616|38.19033
6032635|43.28543
6032654|38.276726
6032692|22.390892
6032711|44.960342
6032743|48.046585
6033076|44.153122
6033248|35.027504
6033253|35.19605
6033273|37.780777
6033279|38.41479
6033300|38.279922
6033301|64.238914
6033339|40.77406
6033342|29.891155
6033344|20.411728
6033346|20.538296
6033348|38.972607
6033447|38.149487
6033470|42.68243
6033502|41.198536
6033570|57.21557
6033626|43.72339
6033649|45.75159
6033680|42.75306
6033682|40.963364
6033709|51.001354
6033730|29.647108
6033760|51.870884
6033809|48.57222
6034063|53.760727
6034192|46.48776
6034245|43.612206
6034299|38.082054
6034316|36.39717
6034327|41.724133
6034335|41.901276
6034336|53.247547
6034349|55.385925
6034368|37.554028
6034476|38.93535
6034496|28.04036
6034497|35.372124
6034507|30.861324
6034511|30.928959
6034530|38.545143
6034662|40.11208
6034664|39.88905
6034668|28.883795
6034682|38.076847
6034739|32.536564
6034838|41.2623
6034939|50.48586
6034947|40.88503
6034957|39.21253
6034978|38.93393
6035001|32.903168
6035059|36.223778
6035073|46.136703
6035079|52.532
6035099|37.769608
6035107|41.520412
6035116|23.244238
6035122|37.5998
6035265|37.769226
6035313|33.272144
6035319|38.99605
6035453|60.86548
6035526|50.751705
6035528|36.781483
6035529|45.745598
6035539|29.784712
6035540|6.0788302
6035548|38.930653
6035685|47.61725
6035721|40.00603
6035785|41.096672
6035802|53.100517
6035821|44.39531
6035834|46.463352
6035842|49.094696
6035843|40.75455
6035877|41.61971
6035893|42.82214
6036002|43.75922
6036019|66.321106
6036064|46.20729
6036079|33.573112
6036112|40.69989
6036144|40.537033
6036167|38.971123
6036190|53.643036
6036193|38.613434
6036224|47.660526
6036267|38.411777
6036302|47.055313
6036357|47.83427
6036362|50.935326
6036410|39.515285
6036414|35.523495
6036424|49.27119
6036468|38.75199
6036512|50.528038
6036586|45.766666
6036594|40.773613
6036608|41.98207
6036617|18.69535
6036624|50.747192
6036627|52.76304
6036664|33.205845
6036666|33.11303
6036684|48.700306
6036697|26.37628
6036700|40.770134
6036715|22.446936
6036716|41.102753
6036847|32.453568
6036868|45.93994
6036881|41.809475
6036906|38.19856
6036913|49.173218
6036971|37.223717
6036972|36.429653
6037089|20.588305
6037144|33.248135
6037239|42.39206
6037393|46.446785
6037409|52.135223
6037442|53.766567
6037466|39.994644
6037490|39.88277
6037536|42.360634
6037544|52.942333
6037597|37.090633
6037660|66.45162
6037667|39.110825
6037675|47.581356
6037745|47.32679
6037768|22.913103
6037779|43.83372
6037809|41.133366
6037818|46.59776
6037862|43.1787
6037865|57.70053
6037918|40.184574
6037939|45.249096
6037995|43.87784
6038017|45.031284
6038063|43.786007
6038070|59.66991
6038123|37.87923
6038192|41.622383
6038236|36.93507
6038281|45.321247
6038299|40.741547
6038343|33.85105
6038347|36.039425
6038470|36.266743
6038474|34.847202
6038493|37.791527
6038504|41.269802
6038507|44.247677
6038513|47.958076
6038538|18.933304
6038566|15.497549
6038573|32.339348
6038898|46.735573
6038902|44.7157
6038977|60.841686
6038986|53.43635
6038993|42.48887
6039007|46.292484
6039010|47.118526
6039011|62.187576
6039020|47.598045
6039039|40.585617
6039176|32.85219
6039192|28.071285
6039207|43.359898
6039333|39.980442
6039353|49.329235
6039371|48.60759
6039641|41.12928
6039661|38.761963
6039669|45.100372
6039708|65.806114
6039776|36.241665
6039810|40.464733
6039833|29.066206
6039849|34.377098
6039864|19.302034
6039934|42.683804
6039968|46.065853
6039971|51.381104
6040235|41.343895
6040439|44.370125
6040498|38.001133
6040553|43.919804
6040555|51.77669
6040615|60.685406
6040627|54.02427
6040854|40.856663
6040929|54.35705
6040931|40.898525
6041082|36.396664
6041132|44.35136
6041234|34.13733
6041235|34.91592
6041255|43.665253
6041323|35.62354
6041356|33.277935
6041373|31.826576
6041400|29.101252
6041407|31.214977
6041411|21.201385
6041493|58.960194
6041561|49.450977
6041565|39.94357
6041645|48.73595
6041687|37.21243
6041694|30.878885
6041703|46.37001
6041705|4.919702
6041813|45.410294
6041996|48.101604
6042006|45.788883
6042016|49.416054
6042151|49.82165
6042295|33.438713
6042306|38.507824
6042311|33.421185
6042316|36.040016
6042325|39.151398
6042361|46.129864
6042380|37.538376
6042473|47.34241
6042498|35.93227
6042654|28.349995
6042655|36.007717
6042677|43.86504
6042707|41.20022
6042735|23.845228
6042764|36.85216
6042824|35.03391
6042827|51.212673
6042836|47.340343
6042969|20.408587
6042972|19.967216
6042996|61.11945
6043016|46.52132
6043040|27.22707
6043053|44.058098
6043056|51.879547
6043208|9.783043
6043243|22.045704
6043244|16.524231
6043361|48.219227
6043432|44.586864
6043516|41.61279
6043533|49.080235
6043573|46.514618
6043610|49.039593
6043630|42.089603
6043639|57.76462
6043640|47.96359
6043653|42.025486
6043655|43.79395
6043675|50.86008
6043682|52.889862
6043706|40.593876
6043715|41.99586
6043726|58.66129
6043739|25.167643
6043775|30.537521
6043793|39.72421
6043798|63.540257
6043813|42.540104
6043814|52.24496
6043921|56.490597
6043949|54.591255
6075773|39.055733
6075911|53.25912
6076152|47.596222
6076330|61.53099
6076353|36.372234
6076361|43.42809
6076653|45.830536
6076913|46.35536
6076953|37.979523
6077090|41.746006
6077246|40.11853
6077512|44.766655
6077631|49.00405
6077861|45.83954
6078456|47.326363
6078525|45.455654
6078527|40.37944
6078530|23.89881
6078531|23.89881
6078532|20.90871
6078549|53.35978
6078556|59.146824
6078755|26.099163
6078756|41.628784
6078764|40.541794
6078807|48.55676
6078810|44.799156
6078811|56.029434
6078823|31.81568
6078832|41.066257
6078833|34.98512
6078836|34.206417
6079039|38.243607
6079069|47.864178
6079169|45.263897
6079204|48.347694
6079414|47.066998
6079895|44.90773
6079941|60.08093
6080008|46.477562
6080057|36.479805
6080110|49.579304
6080208|40.464096
6080375|34.086777
6080382|50.59877
6080540|49.290756
6080674|44.55766
6080710|37.939503
6081016|43.841972
6081048|52.826744
6081165|35.290756
6081182|51.83971
6081211|37.20685
6081298|43.831722
6081470|57.537373
6081562|52.231636
6081711|64.09102
6081722|55.23413
6081727|46.340397
6081731|45.557503
6081995|41.644825
6082399|37.171455
6082403|39.405006
6082633|49.686783
6082942|37.532604
6082954|46.469883
6083174|44.239155
6083374|35.65393
6083491|51.09859
6083648|48.366127
6083655|41.921707
6083727|46.860424
6083728|46.998077
6083729|48.1102
6083731|45.616985
6083744|39.51884
6083746|42.79381
6083749|48.3317
6083763|44.51585
6083804|47.85342
6084075|36.58733
6084076|45.644447
6084081|50.28814
6084248|49.577488
6084251|39.36256
6084268|45.406353
6128918|42.356876
6343683|64.28276
6353948|45.86609
6354034|38.186237
6354035|37.735447
6354708|48.737938
6354896|48.741894
6710950|35.924248
6711042|57.627857
6711055|56.52412
6711171|56.078957
6711308|57.304546
6711330|52.288406
6711337|39.3665
6711369|47.226673
6711409|52.415478
6711462|48.44829
6780628|46.097332
6780639|25.548937
6780647|60.22755
6780749|51.75693
6780841|21.86652
6780887|48.619488
6781085|51.288387
6781089|43.969437
6028717|17.25893
6028735|25.294487
6028920|48.831543
6029132|41.911613
6030218|40.365326
6030222|3.7182553
6032230|55.482685
6032421|37.450474
6032436|36.28507
6032613|44.899612
6033594|40.602432
6034673|38.160973
6034867|53.958294
6035831|43.676094
6035959|47.359573
6037557|53.222095
6037637|44.54484
6037694|61.780846
6038730|43.6635
6042052|60.354553
6042804|45.745243
6043001|51.600197
6043605|47.67629
6043674|49.457413
6043888|59.22966
6043980|55.59613
6075821|37.566586
6075846|43.113213
6075879|55.39359
6075999|31.978
6076010|50.509014
6076014|1.7389507
6076016|37.39942
6076056|52.482212
6076066|23.505125
6076099|44.335304
6076135|57.492702
6076155|61.2764
6076208|47.344948
6076409|43.991615
6076510|37.21109
6076519|64.13797
6076529|56.404705
6076541|60.179836
6076656|59.464333
6076766|45.991825
6076768|34.267067
6076801|53.924706
6076907|55.708252
6076947|56.220737
6076984|46.374187
6076988|55.14163
6077015|8.326612
6077070|36.208607
6077105|33.42905
6077193|57.479683
6077214|56.082542
6077240|47.666027
6077336|66.05844
6077489|63.356663
6077499|49.445816
6077523|64.304825
6077581|43.135223
6077653|55.34091
6077692|28.887375
6077719|40.805862
6077738|36.654953
6077759|20.490799
6077761|23.866858
6077775|32.458065
6077809|45.88513
6077998|50.975952
6077999|61.1135
6078012|44.257633
6078019|35.359615
6078030|48.18386
6078034|40.031227
6078049|48.688465
6078094|51.91913
6078132|36.613483
6078156|45.697266
6078214|59.275223
6078228|29.371935
6078229|50.770515
6078238|40.373867
6078257|41.220623
6078293|25.08908
6078351|59.63893
6078415|55.98377
6078610|56.856342
6078627|59.484104
6078984|48.29019
6079109|55.040512
6079147|45.62384
6079177|43.73804
6079193|50.43309
6079209|59.04219
6079235|46.708797
6079238|48.44963
6079251|28.069439
6079327|38.788174
6079379|50.964672
6079387|43.083862
6079438|52.628777
6079464|22.421213
6079543|44.999374
6079640|50.772472
6079654|4.5146723
6079788|51.973846
6079791|55.81907
6079795|60.314606
6079796|51.13944
6079797|46.236748
6079800|64.15082
6079803|49.113735
6079813|50.77357
6079815|39.974903
6079820|46.088806
6079838|57.356922
