,HY_id,piscina
0,6028499,False
1,6028500,
2,6028502,False
3,6028512,False
4,6028513,False
5,6028514,False
6,6028515,False
7,6028520,False
8,6028523,False
9,6028526,False
10,6028527,False
11,6028529,False
12,6028530,False
13,6028531,False
14,6028533,False
15,6028534,True
16,6028539,False
17,6028541,False
18,6028544,False
19,6028545,False
20,6028547,False
21,6028575,False
22,6028582,False
23,6028585,False
24,6028586,False
25,6028590,False
26,6028594,False
27,6028600,False
28,6028601,True
29,6028625,False
30,6028626,False
31,6028628,False
32,6028630,False
33,6028631,False
34,6028639,False
35,6028640,False
36,6028645,False
37,6028649,False
38,6028651,False
39,6028652,False
40,6028653,False
41,6028655,False
42,6028656,False
43,6028657,True
44,6028664,False
45,6028682,False
46,6028683,False
47,6028708,False
48,6028910,False
49,6028916,False
50,6028917,False
51,6028926,False
52,6028927,False
53,6028928,False
54,6028929,False
55,6028930,False
56,6028931,False
57,6028932,False
58,6028940,False
59,6028941,False
60,6028943,False
61,6028944,False
62,6028945,False
63,6028946,False
64,6028947,False
65,6028951,False
66,6028952,False
67,6028953,False
68,6028954,False
69,6028955,False
70,6028956,False
71,6028957,False
72,6028974,False
73,6028975,False
74,6028976,False
75,6028977,False
76,6028978,False
77,6028979,False
78,6028980,False
79,6028983,False
80,6028984,False
81,6028985,False
82,6028986,False
83,6028987,False
84,6028988,False
85,6028989,False
86,6028994,False
87,6028995,False
88,6028997,False
89,6028998,False
90,6029002,True
91,6029020,False
92,6029031,False
93,6029032,True
94,6029034,False
95,6029045,False
96,6029048,False
97,6029049,False
98,6029051,False
99,6029059,False
100,6029060,False
101,6029063,False
102,6029064,True
103,6029066,False
104,6029067,False
105,6029068,False
106,6029071,False
107,6029072,
108,6029073,False
109,6029075,False
110,6029076,False
111,6029090,False
112,6029111,False
113,6029124,False
114,6029125,
115,6029130,False
116,6029145,False
117,6029154,False
118,6029155,False
119,6029156,False
120,6029157,False
121,6029158,False
122,6029159,False
123,6029160,False
124,6029164,False
125,6029166,False
126,6029169,
127,6029170,False
128,6029182,False
129,6029183,False
130,6029184,False
131,6029185,False
132,6029186,False
133,6029188,False
134,6029190,False
135,6029191,False
136,6029193,False
137,6029198,
138,6029199,False
139,6029201,False
140,6029202,False
141,6029207,False
142,6029208,False
143,6029212,False
144,6029214,False
145,6029216,False
146,6029218,False
147,6029220,False
148,6029222,False
149,6029223,False
150,6029224,False
151,6029228,False
152,6029229,False
153,6029230,False
154,6029231,False
155,6029233,False
156,6029240,False
157,6029243,False
158,6029244,False
159,6029245,False
160,6029246,False
161,6029249,False
162,6029254,False
163,6029261,False
164,6029273,False
165,6029275,False
166,6029276,False
167,6029283,False
168,6029292,False
169,6029293,False
170,6029308,False
171,6029316,False
172,6029318,False
173,6029320,False
174,6029321,False
175,6029322,False
176,6029324,False
177,6029381,False
178,6029382,False
179,6029383,False
180,6029387,False
181,6029400,False
182,6029424,False
183,6029427,False
184,6029429,False
185,6029430,False
186,6029436,False
187,6029437,False
188,6029438,False
189,6029466,False
190,6029476,False
191,6029492,False
192,6029493,False
193,6029494,False
194,6029495,False
195,6029496,False
196,6029512,False
197,6029514,False
198,6029525,False
199,6029528,False
200,6029530,False
201,6029531,False
202,6029534,False
203,6029537,True
204,6029538,
205,6029562,False
206,6029572,False
207,6029577,False
208,6029593,False
209,6029597,False
210,6029600,False
211,6029626,False
212,6029627,False
213,6029633,False
214,6029634,False
215,6029649,False
216,6029650,False
217,6029661,True
218,6029669,False
219,6029674,False
220,6029678,True
221,6029681,False
222,6029683,False
223,6029684,False
224,6029691,False
225,6029692,False
226,6029694,False
227,6029699,False
228,6029701,False
229,6029702,False
230,6029703,False
231,6029704,False
232,6029705,False
233,6029706,False
234,6029707,False
235,6029710,False
236,6029740,False
237,6029742,False
238,6029772,False
239,6029794,False
240,6029812,True
241,6029814,False
242,6029816,False
243,6029817,False
244,6029818,False
245,6029820,False
246,6029821,False
247,6029822,False
248,6029823,False
249,6029833,True
250,6029835,False
251,6029836,False
252,6029837,False
253,6029838,False
254,6029840,False
255,6029841,False
256,6029842,False
257,6029844,True
258,6029848,True
259,6029859,True
260,6029868,False
261,6029875,False
262,6029876,False
263,6029877,False
264,6029879,False
265,6029880,False
266,6029881,False
267,6029882,False
268,6029885,False
269,6029887,False
270,6029899,False
271,6029900,False
272,6029901,False
273,6029902,False
274,6029903,False
275,6029904,False
276,6029905,False
277,6029907,False
278,6029908,False
279,6029910,False
280,6029914,False
281,6029916,False
282,6029918,False
283,6029949,False
284,6029996,
285,6030021,False
286,6030022,False
287,6030023,False
288,6030024,False
289,6030029,False
290,6030030,False
291,6030032,False
292,6030035,True
293,6030061,False
294,6030062,False
295,6030068,False
296,6030121,False
297,6030158,False
298,6030159,False
299,6030160,False
300,6030161,False
301,6030162,False
302,6030166,False
303,6030167,False
304,6030169,False
305,6030172,False
306,6030201,False
307,6030227,False
308,6030230,False
309,6030232,False
310,6030233,False
311,6030234,False
312,6030236,False
313,6030237,False
314,6030238,False
315,6030239,False
316,6030242,False
317,6030243,False
318,6030246,False
319,6030247,False
320,6030248,False
321,6030249,False
322,6030252,False
323,6030253,False
324,6030255,False
325,6030260,False
326,6030266,False
327,6030275,False
328,6030276,False
329,6030277,False
330,6030278,False
331,6030279,False
332,6030284,False
333,6030285,False
334,6030286,False
335,6030287,False
336,6030294,False
337,6030295,False
338,6030296,False
339,6030297,False
340,6030299,False
341,6030313,False
342,6030315,False
343,6030317,False
344,6030318,False
345,6030319,False
346,6030321,False
347,6030324,False
348,6030326,False
349,6030327,False
350,6030329,False
351,6030331,True
352,6030334,False
353,6030335,False
354,6030337,False
355,6030340,False
356,6030343,False
357,6030344,False
358,6030345,False
359,6030346,False
360,6030350,False
361,6030351,False
362,6030358,False
363,6030359,False
364,6030364,False
365,6030365,False
366,6030374,False
367,6030376,False
368,6030378,False
369,6030381,False
370,6030389,False
371,6030444,False
372,6030456,False
373,6030457,False
374,6030458,False
375,6030459,False
376,6030460,False
377,6030461,False
378,6030462,False
379,6030463,False
380,6030464,False
381,6030465,False
382,6030466,False
383,6030467,False
384,6030468,False
385,6030469,False
386,6030489,False
387,6030491,False
388,6030496,False
389,6030497,False
390,6030500,False
391,6030504,False
392,6030510,False
393,6030517,False
394,6030518,False
395,6030519,False
396,6030520,False
397,6030521,False
398,6030523,False
399,6030524,False
400,6030525,False
401,6030526,False
402,6030527,False
403,6030531,False
404,6030558,False
405,6030559,False
406,6030563,False
407,6030566,False
408,6030567,False
409,6030628,False
410,6030629,False
411,6030630,False
412,6030631,False
413,6030633,False
414,6030634,False
415,6030639,False
416,6030640,False
417,6030642,False
418,6030643,False
419,6030649,False
420,6030650,False
421,6030651,False
422,6030652,False
423,6030653,False
424,6030658,False
425,6030659,False
426,6030660,False
427,6030661,False
428,6030662,False
429,6030665,False
430,6030678,False
431,6030679,False
432,6030701,False
433,6030702,False
434,6030703,False
435,6030704,False
436,6030705,False
437,6030706,False
438,6030707,False
439,6030709,False
440,6030752,False
441,6030773,False
442,6030774,False
443,6030775,False
444,6030776,False
445,6030777,False
446,6030778,False
447,6030779,False
448,6030780,False
449,6030781,False
450,6030783,False
451,6030804,False
452,6030838,False
453,6030866,False
454,6030867,False
455,6030868,False
456,6030870,False
457,6030871,False
458,6030875,False
459,6030876,False
460,6030877,False
461,6030878,False
462,6030902,
463,6030903,False
464,6030904,False
465,6030905,
466,6030907,False
467,6030908,False
468,6030910,False
469,6030911,False
470,6030912,False
471,6030914,False
472,6030918,False
473,6030919,False
474,6030920,False
475,6030921,True
476,6030923,False
477,6030925,False
478,6030926,False
479,6030927,False
480,6030930,False
481,6030931,False
482,6030937,False
483,6030939,False
484,6030953,False
485,6030959,False
486,6030963,False
487,6030964,False
488,6030965,False
489,6030966,False
490,6030967,False
491,6030969,False
492,6030970,False
493,6030973,False
494,6030974,False
495,6030996,False
496,6030997,False
497,6031000,False
498,6031002,False
499,6031004,False
500,6031005,False
501,6031008,False
502,6031011,False
503,6031030,False
504,6031031,False
505,6031034,False
506,6031041,False
507,6031071,False
508,6031073,False
509,6031077,False
510,6031079,False
511,6031080,False
512,6031081,False
513,6031082,False
514,6031083,False
515,6031084,False
516,6031086,False
517,6031087,False
518,6031088,False
519,6031090,False
520,6031092,False
521,6031093,False
522,6031094,False
523,6031095,False
524,6031099,False
525,6031102,False
526,6031103,False
527,6031104,False
528,6031105,False
529,6031106,False
530,6031107,False
531,6031108,False
532,6031109,False
533,6031112,False
534,6031113,False
535,6031116,False
536,6031117,False
537,6031118,False
538,6031119,False
539,6031120,False
540,6031121,False
541,6031122,False
542,6031124,False
543,6031125,False
544,6031126,False
545,6031128,False
546,6031129,False
547,6031133,False
548,6031137,False
549,6031139,False
550,6031143,False
551,6031144,False
552,6031151,False
553,6031171,False
554,6031196,False
555,6031197,False
556,6031199,False
557,6031200,False
558,6031206,False
559,6031210,False
560,6031222,False
561,6031224,False
562,6031232,False
563,6031234,False
564,6031238,False
565,6031239,False
566,6031240,False
567,6031242,
568,6031243,False
569,6031245,False
570,6031250,False
571,6031253,False
572,6031254,False
573,6031255,False
574,6031256,False
575,6031257,False
576,6031258,False
577,6031260,False
578,6031264,False
579,6031271,
580,6031272,False
581,6031273,False
582,6031274,False
583,6031275,
584,6031280,False
585,6031285,False
586,6031286,False
587,6031287,False
588,6031288,False
589,6031289,False
590,6031290,False
591,6031291,False
592,6031292,False
593,6031293,False
594,6031295,False
595,6031296,False
596,6031297,False
597,6031298,False
598,6031299,True
599,6031300,True
600,6031301,True
601,6031302,False
602,6031303,False
603,6031311,False
604,6031312,False
605,6031327,False
606,6031329,False
607,6031330,False
608,6031336,False
609,6031341,True
610,6031349,False
611,6031350,False
612,6031351,False
613,6031352,False
614,6031353,False
615,6031354,False
616,6031355,False
617,6031356,False
618,6031358,False
619,6031359,False
620,6031362,True
621,6031363,True
622,6031366,True
623,6031367,True
624,6031368,True
625,6031369,True
626,6031370,True
627,6031371,True
628,6031373,True
629,6031375,True
630,6031376,True
631,6031380,True
632,6031389,False
633,6031396,False
634,6031397,False
635,6031398,False
636,6031399,False
637,6031400,False
638,6031401,False
639,6031402,False
640,6031403,False
641,6031404,False
642,6031405,False
643,6031406,False
644,6031407,False
645,6031501,False
646,6031502,True
647,6031503,False
648,6031510,False
649,6031519,False
650,6031520,False
651,6031521,False
652,6031522,False
653,6031523,False
654,6031525,False
655,6031526,False
656,6031528,False
657,6031529,False
658,6031530,False
659,6031531,False
660,6031538,False
661,6031544,False
662,6031545,False
663,6031546,False
664,6031547,False
665,6031548,False
666,6031549,False
667,6031550,False
668,6031552,False
669,6031553,False
670,6031554,False
671,6031555,False
672,6031556,False
673,6031557,False
674,6031560,False
675,6031561,False
676,6031562,False
677,6031593,False
678,6031598,False
679,6031611,False
680,6031615,False
681,6031616,False
682,6031618,False
683,6031627,False
684,6031628,False
685,6031629,False
686,6031630,False
687,6031638,True
688,6031658,True
689,6031666,True
690,6031680,False
691,6031691,False
692,6031692,False
693,6031700,False
694,6031706,False
695,6031712,False
696,6031720,True
697,6031721,False
698,6031722,True
699,6031723,False
700,6031730,False
701,6031734,False
702,6031743,False
703,6031744,False
704,6031746,False
705,6031747,False
706,6031748,False
707,6031750,False
708,6031751,False
709,6031753,
710,6031755,
711,6031767,False
712,6031774,False
713,6031778,False
714,6031779,False
715,6031780,False
716,6031784,False
717,6031785,
718,6031797,False
719,6031798,False
720,6031805,False
721,6031811,False
722,6031815,False
723,6031818,False
724,6031822,False
